Date,"Michael Jackson","Lady Gaga","Eminem","Justin Bieber","Freddie Mercury","Miley Cyrus","Taylor Swift","Lil Wayne","Selena Gomez","Rihanna"
2020-01-01,21038,22389,13759,23381,56040,14637,16590,7227,12438,12910
2020-01-02,20329,15388,13410,17343,30616,13740,16348,6685,14066,11768
2020-01-03,17898,12594,13261,27848,26525,13022,15114,7084,13743,11642
2020-01-04,19730,15138,12654,26521,32327,12787,15510,6752,14289,10713
2020-01-05,18258,16869,12464,26873,33256,13134,13930,6005,12876,12117
2020-01-06,16604,18250,11630,18309,20853,9902,25450,5351,13034,11028
2020-01-07,16579,16752,11281,16648,18949,11616,16024,5680,13748,10633
2020-01-08,16579,12831,11900,16845,17491,9899,12842,5936,14734,9570
2020-01-09,17141,13971,12499,29470,22607,9765,13164,6391,18819,9479
2020-01-10,16926,11735,12723,22573,18935,9535,12163,6182,35202,9800
2020-01-11,17805,14338,13200,25762,24566,11644,13371,5955,30858,10984
2020-01-12,18014,13849,12753,26204,27551,12665,14700,7219,27773,10370
2020-01-13,16191,11879,12871,19565,21899,11815,12256,12920,27623,9776
2020-01-14,16210,11945,13147,18108,16533,9811,14638,11872,37551,9068
2020-01-15,17035,10852,12074,15700,16396,10275,11068,6032,27453,8728
2020-01-16,17151,10497,13062,15803,16204,9653,11459,5532,20453,9270
2020-01-17,17094,10898,176046,16523,19731,9812,10628,6423,21296,10880
2020-01-18,18281,12609,92055,16432,27797,9862,12167,7593,21022,18981
2020-01-19,18590,12818,53812,15971,29335,9524,12337,8195,18793,15604
2020-01-20,17724,12325,44024,14725,20614,8631,11480,7022,15879,11818
2020-01-21,17478,12398,41518,12966,17149,7923,17317,7316,14159,11084
2020-01-22,17589,12690,35346,12829,15585,7973,20990,6556,14686,11378
2020-01-23,20168,12362,38287,13591,15721,8311,17053,6930,12553,10469
2020-01-24,18786,11783,36210,15372,17739,9392,21479,11669,14811,9212
2020-01-25,18668,12006,36046,15906,25895,9583,20404,9198,19935,10263
2020-01-26,25125,15609,28865,14653,24960,9577,17388,8424,18082,10938
2020-01-27,30761,19926,25990,19844,17592,13717,20173,13942,18268,10834
2020-01-28,23865,12295,24675,57516,15795,11216,14184,8292,16507,9649
2020-01-29,20689,11434,24182,49494,15351,12451,12506,7599,15745,11557
2020-01-30,19352,10751,22062,32318,14565,9483,12153,9197,13425,11110
2020-01-31,18327,10140,26218,25357,18292,7846,46217,37132,12564,11539
2020-02-01,18551,12136,21142,21431,21775,8621,104206,24848,13211,10251
2020-02-02,19439,16317,18854,20658,28587,9477,108468,19906,14916,13654
2020-02-03,21249,22170,17650,18017,16044,10683,67214,67242,13975,12595
2020-02-04,20681,21002,17030,20858,15203,9308,58480,39916,12120,10698
2020-02-05,19016,14221,17052,19888,16772,8041,48429,26307,12392,10122
2020-02-06,19531,12707,18881,19343,18398,8092,42225,28485,12017,10091
2020-02-07,18920,12760,20566,24505,22413,7884,40104,18491,12191,9553
2020-02-08,18663,13764,19218,24318,27756,10381,44615,16359,11847,10353
2020-02-09,18752,14652,17713,46050,43811,16334,44085,17770,12338,10307
2020-02-10,20042,13067,244715,30312,28541,8689,28388,12971,9761,9288
2020-02-11,20851,10540,80533,30870,20520,7830,24253,11456,10149,9675
2020-02-12,20643,9538,47389,29538,19386,8147,22253,10620,9600,9695
2020-02-13,22541,10842,40627,27091,18594,11117,21899,12072,9953,10079
2020-02-14,18421,11755,34730,47345,22276,9977,21328,10500,9983,9535
2020-02-15,18038,13893,32199,45815,33407,9808,26998,10744,11166,9377
2020-02-16,18509,12867,28942,39411,51824,10062,26948,14047,11825,10056
2020-02-17,18300,11590,24236,35296,25770,8438,22458,15877,11833,9102
2020-02-18,19051,11346,20876,33484,19919,7575,24046,9137,10485,9255
2020-02-19,19411,10565,20268,48012,19456,7983,18411,8823,11309,10359
2020-02-20,19252,10161,19118,46006,17982,7913,15970,9979,11926,25375
2020-02-21,18258,10753,18375,43542,20175,7866,16549,9152,14061,18316
2020-02-22,19668,11445,19968,43622,33970,8521,20312,8406,13308,11431
2020-02-23,23672,11485,18667,38755,28955,9370,20525,8551,12519,15465
2020-02-24,21966,10021,17005,33512,21513,8056,16910,8022,11462,12399
2020-02-25,20648,13223,16309,24887,19017,7564,15225,6687,10673,10204
2020-02-26,18908,14412,16890,21950,17959,7437,14680,6756,10020,9828
2020-02-27,18132,20978,16465,22656,19529,7052,19049,7196,9402,9680
2020-02-28,17250,46816,16087,20298,23608,7444,20749,7270,10085,9259
2020-02-29,16518,34170,16362,27789,27999,7942,19317,6936,10745,10181
2020-03-01,18220,24674,15511,34341,31981,8733,19004,6784,10692,9417
2020-03-02,16897,23532,15262,24129,19981,8782,16497,6707,9444,9071
2020-03-03,19154,20976,14644,23030,16761,10518,16433,6163,9897,9293
2020-03-04,17912,20331,15017,23132,17090,9568,14185,6437,9261,8791
2020-03-05,17838,24484,15598,21228,17658,8644,16533,6888,9820,10587
2020-03-06,16670,20732,15573,26888,19312,8588,17405,6452,11112,9515
2020-03-07,17129,19812,16243,25624,23849,8997,16810,6934,12172,9108
2020-03-08,17434,19153,16400,19425,24425,8836,16815,7191,13025,9944
2020-03-09,16419,15643,16720,15915,17087,8576,13141,5925,15796,9047
2020-03-10,16085,15221,22581,14548,15795,9710,11487,6170,11406,8708
2020-03-11,15063,13169,20736,13237,15369,8031,11067,5731,9659,8275
2020-03-12,14261,12532,17391,12201,13692,7324,10848,6101,8755,7580
2020-03-13,13607,11630,16753,12122,22808,7293,11023,6059,9416,7847
2020-03-14,15255,13244,19287,13090,26188,9384,14254,5845,9396,8901
2020-03-15,15572,14419,18682,12503,28654,10473,14083,5828,12198,10343
2020-03-16,14389,13926,15203,11129,18276,8361,11147,5139,8934,8721
2020-03-17,13975,13423,14081,11521,22016,7848,11192,5015,8487,8357
2020-03-18,14282,11916,14427,12965,17129,9540,11836,5045,12279,8251
2020-03-19,14609,11304,14499,12579,17638,9556,11111,5775,9039,8519
2020-03-20,15278,11122,19556,12834,26517,8634,10811,5414,9455,8262
2020-03-21,17498,13606,18720,13466,26965,11139,20977,5969,11108,12254
2020-03-22,17782,15632,17082,12634,33491,10888,20048,5856,10570,12566
2020-03-23,16718,11581,14862,12879,21343,10399,14711,5301,9471,10334
2020-03-24,16437,13138,14149,13607,17588,11440,18611,5542,12283,9493
2020-03-25,16958,11958,14168,12495,27211,12548,15253,5636,10593,9279
2020-03-26,17479,12166,15662,17268,26502,12659,13716,6251,12031,10264
2020-03-27,18648,14337,15522,14208,36747,12753,14186,5760,11729,14825
2020-03-28,19278,23893,15723,13762,34703,12803,15106,6562,11688,12956
2020-03-29,21386,20303,18179,14495,46820,13456,15339,6586,12828,15749
2020-03-30,31214,17442,19140,13977,29687,11369,13647,7852,11970,17177
2020-03-31,22485,12330,31137,14354,22366,11134,12525,9621,13230,17666
2020-04-01,22785,12235,20356,13909,28156,11688,12434,8834,12505,13321
2020-04-02,19943,12634,15924,15016,25300,14902,13042,8690,11890,12234
2020-04-03,20362,12463,15579,13918,41223,13468,12927,7104,12394,11786
2020-04-04,21993,14648,16151,14352,37934,23275,14072,7337,17732,11995
2020-04-05,21363,16083,15726,18655,30901,17273,14924,7600,14386,12194
2020-04-06,21262,17837,17224,14532,30198,15800,12495,7279,12854,11425
2020-04-07,19631,33051,17577,16010,20998,13619,13607,7500,12816,11043
2020-04-08,19087,21626,15436,14385,25922,11726,13345,6977,11978,11288
2020-04-09,20012,19703,15975,13535,31266,12025,13313,8385,16899,11671
2020-04-10,30375,16995,17072,14770,29125,13561,14056,7697,18463,16499
2020-04-11,23188,17390,16765,15640,50793,13464,15188,7742,18923,15909
2020-04-12,23726,20373,16447,15478,48812,15383,14732,7541,15885,15350
2020-04-13,21761,17750,15897,15055,29502,16646,14068,7831,16599,13923
2020-04-14,21004,15028,15363,14195,21289,14126,13514,8145,16061,12547
2020-04-15,20266,13429,15374,13598,21106,11469,12688,11662,15283,11891
2020-04-16,19898,17225,15178,15071,27330,11777,12205,7620,13469,11960
2020-04-17,21343,17778,16459,16212,33586,15369,14318,6888,14441,12910
2020-04-18,23371,27967,16827,14855,42537,15729,17253,7896,14565,13028
2020-04-19,28701,92984,15943,15673,69007,15851,62697,7825,12734,12676
2020-04-20,24551,29690,15066,14514,29621,13555,20439,6936,11134,12186
2020-04-21,24851,18492,22363,15197,23446,12129,16528,8696,11481,12529
2020-04-22,25433,19070,18571,14099,21466,11670,14872,8437,12829,11815
2020-04-23,21340,22109,17385,13677,25307,13060,16115,9247,11418,12180
2020-04-24,22054,16601,17133,12996,26887,13039,17617,8351,11156,11978
2020-04-25,24053,16339,17183,14628,27502,16677,17721,8238,13057,12608
2020-04-26,27152,18151,17412,15346,34615,30406,16866,7745,13651,12535
2020-04-27,22061,15274,15210,21686,24131,20571,15065,6917,12330,11729
2020-04-28,22875,12687,14848,25040,18249,15839,15096,8628,11954,11489
2020-04-29,23839,13236,14939,19417,20010,15092,14750,7199,15071,11037
2020-04-30,23285,13368,18699,14305,18848,13552,15529,7264,12479,12539
2020-05-01,23229,13682,19724,14269,23165,13385,15221,6988,11864,13998
2020-05-02,22703,14190,18151,24613,31443,14322,15288,7852,12717,15516
2020-05-03,24106,14972,16976,17729,28137,13753,14981,8260,13677,14046
2020-05-04,23181,12860,15818,21600,26045,13011,13304,7070,12691,11850
2020-05-05,21860,13270,15494,24622,17697,12536,12981,7421,12287,12702
2020-05-06,21952,15077,15468,19535,24383,13093,13136,7350,12067,11667
2020-05-07,21262,15343,15022,14821,19438,12225,12789,7137,10716,11663
2020-05-08,21995,14111,20036,19782,20597,11624,13950,7414,13728,11809
2020-05-09,22946,14768,17272,18979,24606,11853,13617,8734,14847,13682
2020-05-10,22047,14456,21844,17416,24998,15419,13933,8633,13797,11831
2020-05-11,21644,12648,15269,19399,18900,12956,14266,7277,14237,11756
2020-05-12,20253,12180,14163,16353,20192,10499,13147,7932,11647,12184
2020-05-13,19464,12120,17277,14310,20576,10396,12719,7904,11537,25271
2020-05-14,20567,13008,17936,15231,18444,10320,12559,9725,10277,14884
2020-05-15,20793,13686,17836,20336,27038,11742,12958,8069,10452,13311
2020-05-16,22075,15610,15788,21924,31044,12649,14598,7582,10907,16058
2020-05-17,21041,15148,15755,20446,29712,12435,15256,8211,11273,15330
2020-05-18,21623,13305,14495,18454,19728,13920,71038,7324,11810,12425
2020-05-19,20780,12773,14366,19867,17948,12623,23765,9883,10874,11347
2020-05-20,20015,12364,14420,20442,21824,12930,17629,8284,11549,10876
2020-05-21,20271,14434,16646,21462,17334,12674,15710,8706,10878,11299
2020-05-22,20506,39359,15762,17137,18755,12310,15059,7965,11221,11646
2020-05-23,21842,42147,19296,19640,29897,12268,15581,8328,11658,12364
2020-05-24,24796,29883,17986,17578,37587,13735,14862,8974,11719,14163
2020-05-25,21436,24848,16622,15411,35095,14274,17238,8593,11492,13827
2020-05-26,20371,22758,16746,14858,22051,13635,15630,7909,10929,11812
2020-05-27,19519,21837,15632,16664,18422,11991,13202,6782,10205,11545
2020-05-28,18789,37490,15017,14458,18660,10179,12822,6509,10046,11419
2020-05-29,20169,76197,14060,13924,18860,10042,16079,8356,10657,12633
2020-05-30,21780,44148,14482,12859,23300,11161,19628,23297,9880,11891
2020-05-31,21564,32730,16453,12327,27305,11099,15568,17650,9748,10786
2020-06-01,22005,28488,12858,12109,16526,9907,12654,7966,9023,10064
